mese,fascia età,regione,valore predetto
2021-06-01,_4049,Puglia,2718.92
2021-06-01,_4049,Sicilia,6030.048
2021-06-01,_4049,Lazio,6183.426
2021-06-01,_4049,Lombardia,6387.386
2021-06-01,_4049,Campania,8573.455
2021-06-01,_5059,Sicilia,7045.156
2021-06-01,_5059,Veneto,8103.643
2021-06-01,_5059,Lazio,10549.674
2021-06-01,_5059,Campania,11242.688
2021-06-01,_5059,Lombardia,17052.846
2021-06-01,_6069,Piemonte,5886.885
2021-06-01,_6069,Emilia-Romagna,6522.157
2021-06-01,_6069,Lazio,6788.206
2021-06-01,_6069,Toscana,7505.135
2021-06-01,_6069,Lombardia,8792.96
2021-06-01,_7079,Veneto,1955.148
2021-06-01,_7079,Piemonte,2192.643
2021-06-01,_7079,Toscana,2297.254
2021-06-01,_7079,Sicilia,3033.729
2021-06-01,_7079,Lombardia,4605.281
2021-06-01,_8089,Piemonte,538.553
2021-06-01,_8089,Campania,639.97
2021-06-01,_8089,Toscana,771.922
2021-06-01,_8089,Lombardia,948.929
2021-06-01,_8089,Sicilia,951.98
2021-06-01,_90,Emilia-Romagna,113.183
2021-06-01,_90,Veneto,181.042
2021-06-01,_90,Campania,243.759
2021-06-01,_90,Lombardia,290.869
2021-06-01,_90,Sicilia,374.355
